instance_name,dist,gammas,taus,eps_case,Bank1_start,Bank2_start,hedgeT,closestNE_knownmat,closestNEdist_knownmat,closestNE_fresh1,closestNEdist_fresh1,closestNE_moving1,closestNEdist_moving1
"TG_mu0.6_sigma0.4[0.3, 0.7]--",TG_mu0.6_sigma0.4,"[0.3, 0.7]","[0.37037037037037035, 0.4347826086956522]",--,[0.04872488 0.24038478 0.43185669 0.27903365],[0.02161625 0.02915701 0.15514951 0.79407723],100000,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",1.3673280116547467e-24,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",1.8829807351807315e-24,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",1.6400726276249993e-24
"TG_mu0.6_sigma0.4[0.3, 0.7]--",TG_mu0.6_sigma0.4,"[0.3, 0.7]","[0.37037037037037035, 0.4347826086956522]",--,[0.30227189 0.0058425  0.3557959  0.33608971],[0.06957095 0.51402032 0.28381321 0.13259552],100000,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",6.642592848519101e-24,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",1.0888088283992253e-23,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",6.104110806768231e-24
"TG_mu0.6_sigma0.4[0.3, 0.7]--",TG_mu0.6_sigma0.4,"[0.3, 0.7]","[0.37037037037037035, 0.4347826086956522]",--,[0.13324052 0.04488414 0.31780489 0.50407045],[0.75894384 0.10475581 0.10678548 0.02951487],100000,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",5.354884863150283e-23,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",5.094760442540722e-23,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",4.0130251185902587e-23
"TG_mu0.6_sigma0.4[0.3, 0.7]--",TG_mu0.6_sigma0.4,"[0.3, 0.7]","[0.37037037037037035, 0.4347826086956522]",--,[0.38425003 0.0244683  0.35058422 0.24069745],[0.27066977 0.44269066 0.14074244 0.14589713],100000,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",2.6037710687339575e-23,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",4.0392791873789265e-23,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",1.961333797610579e-23
"TG_mu0.6_sigma0.4[0.3, 0.7]--",TG_mu0.6_sigma0.4,"[0.3, 0.7]","[0.37037037037037035, 0.4347826086956522]",--,[0.51666854 0.24408753 0.1524079  0.08683603],[0.16783577 0.11610728 0.01474925 0.70130771],100000,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",2.664792834516854e-22,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",1.4602313750149847e-22,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",2.2059590101232226e-22
"TG_mu0.2_sigma0.2[0.7, 0.8]--",TG_mu0.2_sigma0.2,"[0.7, 0.8]","[0.35714285714285715, 0.37037037037037035]",--,[0.04872488 0.24038478 0.43185669 0.27903365],[0.02161625 0.02915701 0.15514951 0.79407723],100000,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",0.006629100750171911,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",0.006676077299113197,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",0.007703036828633557
"TG_mu0.2_sigma0.2[0.7, 0.8]--",TG_mu0.2_sigma0.2,"[0.7, 0.8]","[0.35714285714285715, 0.37037037037037035]",--,[0.30227189 0.0058425  0.3557959  0.33608971],[0.06957095 0.51402032 0.28381321 0.13259552],100000,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",0.03175637647727656,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",0.036779993546299725,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",0.03176523335185531
"TG_mu0.2_sigma0.2[0.7, 0.8]--",TG_mu0.2_sigma0.2,"[0.7, 0.8]","[0.35714285714285715, 0.37037037037037035]",--,[0.13324052 0.04488414 0.31780489 0.50407045],[0.75894384 0.10475581 0.10678548 0.02951487],100000,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",0.22418726494237756,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",0.23769025719057027,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",0.20909584948461027
"TG_mu0.2_sigma0.2[0.7, 0.8]--",TG_mu0.2_sigma0.2,"[0.7, 0.8]","[0.35714285714285715, 0.37037037037037035]",--,[0.38425003 0.0244683  0.35058422 0.24069745],[0.27066977 0.44269066 0.14074244 0.14589713],100000,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",0.11900301628456719,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",0.12468787431273465,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",0.1107104163219416
"TG_mu0.2_sigma0.2[0.7, 0.8]--",TG_mu0.2_sigma0.2,"[0.7, 0.8]","[0.35714285714285715, 0.37037037037037035]",--,[0.51666854 0.24408753 0.1524079  0.08683603],[0.16783577 0.11610728 0.01474925 0.70130771],100000,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",0.7798347260799205,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",0.7594702802989834,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",0.755776767538784
